,datetime,open,high,low,close,volume
0,2023-04-11,10.00000,10.01000,10.00000,10.01000,1800
1,2023-04-10,9.88000,9.95300,9.88000,9.95300,600
2,2023-04-06,9.74000,9.74000,9.74000,9.74000,0
3,2023-04-05,10.12000,10.12000,9.74000,9.74000,2300
4,2023-04-04,10.06900,10.06900,10.06900,10.06900,0
5,2023-04-03,10.01000,10.06900,10.00000,10.06900,1600
6,2023-03-31,10.00000,10.00000,10.00000,10.00000,0
7,2023-03-30,10.00000,10.00000,10.00000,10.00000,0
8,2023-03-29,10.00000,10.00000,10.00000,10.00000,2700
9,2023-03-28,9.90000,10.02000,9.89000,10.00100,10300
10,2023-03-27,9.87100,9.90000,9.74000,9.90000,4900
11,2023-03-24,9.78000,9.83000,9.78000,9.83000,1800
12,2023-03-23,9.74000,9.84200,9.74000,9.84200,3800
13,2023-03-22,9.75000,9.75000,9.74000,9.75000,12900
14,2023-03-21,9.75000,9.97000,9.75000,9.75200,1600
15,2023-03-20,9.73000,9.77000,9.73000,9.74000,4000
16,2023-03-17,9.03000,9.81000,8.75000,9.48000,36200
17,2023-03-16,9.90000,10.23000,8.20000,8.23000,15000
18,2023-03-15,9.97200,10.05500,9.88000,9.95000,8600
19,2023-03-14,10.15000,10.20300,10.10000,10.10000,2500
20,2023-03-13,10.23000,10.23700,9.99300,10.03000,11300
21,2023-03-10,10.24000,10.31400,10.24000,10.24000,2300
22,2023-03-09,10.24000,10.28200,10.24000,10.24000,1700
23,2023-03-08,10.28500,10.28500,10.28500,10.28500,1000
24,2023-03-07,10.30000,10.30000,10.30000,10.30000,0
25,2023-03-06,10.30000,10.30000,10.30000,10.30000,0
26,2023-03-03,10.30000,10.30000,10.30000,10.30000,800
27,2023-03-02,10.22000,10.28500,10.22000,10.22300,500
28,2023-03-01,10.23000,10.23000,10.23000,10.23000,1000
29,2023-02-28,10.33000,10.33000,10.33000,10.33000,200
30,2023-02-27,10.23000,10.32700,10.23000,10.32700,2100
31,2023-02-24,10.30000,10.30000,10.30000,10.30000,100
32,2023-02-23,10.30000,10.32000,10.30000,10.30000,1800
33,2023-02-22,10.22000,10.22000,10.22000,10.22000,0
34,2023-02-21,10.22000,10.22000,10.21000,10.22000,3100
35,2023-02-17,10.32000,10.32000,10.31000,10.31500,5600
36,2023-02-16,10.29000,10.33000,10.29000,10.33000,1900
37,2023-02-14,10.30000,10.30000,10.25000,10.25000,800
