,datetime,open,high,low,close,volume
0,2023-04-19,3.58000,3.88000,3.53000,3.79000,330900
1,2023-04-18,3.77000,3.84000,3.10000,3.56000,420800
2,2023-04-17,4.03000,4.08000,3.75000,3.81000,277200
3,2023-04-14,4.53000,4.67000,3.97000,3.98000,231300
4,2023-04-13,4.72000,4.72000,4.48000,4.53000,179200
5,2023-04-12,4.83000,4.88000,4.59000,4.69000,168500
6,2023-04-11,4.79000,4.99000,4.74000,4.85000,211100
7,2023-04-10,4.78000,4.89000,4.61000,4.78000,133900
8,2023-04-06,4.80000,4.87000,4.57000,4.76000,103500
9,2023-04-05,4.87000,4.88000,4.45000,4.84000,275500
10,2023-04-04,4.93000,4.97000,4.86000,4.94000,108900
11,2023-04-03,4.75000,4.97000,4.66000,4.94000,173500
12,2023-03-31,4.63000,4.73000,4.55000,4.72000,175600
13,2023-03-30,4.64000,4.72000,4.45000,4.67000,113500
14,2023-03-29,4.78000,4.78000,4.53000,4.63000,193100
15,2023-03-28,4.60000,4.70000,4.49000,4.60000,139300
16,2023-03-27,4.53000,4.60000,4.34000,4.53000,167200
17,2023-03-24,4.37000,4.52000,4.19000,4.48000,196600
18,2023-03-23,4.83000,5.00000,4.29000,4.30000,237300
19,2023-03-22,4.65000,5.17000,4.65000,4.74000,811500
20,2023-03-21,4.40000,4.59000,4.25000,4.57000,367300
21,2023-03-20,4.00000,4.26000,3.96000,4.25000,393700
22,2023-03-17,3.98000,4.10000,3.92000,4.02000,2898400
23,2023-03-16,3.91000,3.95000,3.87000,3.95000,238900
24,2023-03-15,3.89000,3.95000,3.77000,3.88000,256600
25,2023-03-14,3.83000,3.95000,3.59000,3.86000,482500
26,2023-03-13,3.24000,3.94000,3.23000,3.83000,468600
27,2023-03-10,3.21000,3.26000,3.19000,3.24000,276400
28,2023-03-09,3.02000,3.16000,3.02000,3.07000,56700
29,2023-03-08,3.05000,3.13000,3.04000,3.10000,70100
30,2023-03-07,3.20000,3.38000,2.90000,3.00000,69000
31,2023-03-06,3.40000,3.44000,3.15000,3.15000,64800
32,2023-03-03,3.28000,3.45000,3.22000,3.36000,72300
33,2023-03-02,3.27000,3.32000,3.26000,3.32000,43100
34,2023-03-01,3.27000,3.28000,3.27000,3.28000,23600
35,2023-02-28,3.25000,3.28000,3.24000,3.28000,54400
36,2023-02-27,3.13000,3.25000,3.13000,3.25000,46100
37,2023-02-24,3.16000,3.20000,3.15000,3.20000,27200
38,2023-02-23,3.20000,3.20000,3.17000,3.19000,33800
39,2023-02-22,3.35000,3.35000,3.18000,3.20000,39700
40,2023-02-21,3.32000,3.32000,3.25000,3.32000,34600
41,2023-02-17,3.32000,3.33000,3.28000,3.29000,55200
42,2023-02-16,3.32000,3.35000,3.28000,3.32000,34500
43,2023-02-15,3.35000,3.35000,3.31000,3.34000,30200
44,2023-02-14,3.30000,3.33000,3.27000,3.29000,42400
45,2023-02-13,3.33000,3.35000,3.28000,3.30000,39300
46,2023-02-10,3.30000,3.30000,3.24000,3.30000,38000
47,2023-02-09,3.30000,3.32000,3.25000,3.28000,72600
48,2023-02-08,3.25000,3.30000,3.25000,3.28000,81800
49,2023-02-07,3.45000,3.45000,3.20000,3.25000,110900
50,2023-02-06,3.21000,3.43000,3.06000,3.40000,122200
51,2023-02-03,3.24000,3.40000,3.09000,3.25000,154200
52,2023-02-02,3.30000,3.37000,3.30000,3.36000,58100
53,2023-02-01,3.22000,3.30000,3.20000,3.30000,61600
54,2023-01-31,3.18000,3.30000,3.16000,3.19000,51200
55,2023-01-30,3.20000,3.23000,3.19000,3.22000,59900
56,2023-01-27,3.15000,3.19000,3.03000,3.16000,58200
