,datetime,open,high,low,close,volume
0,2023-04-19,0.84000,0.86000,0.83000,0.83000,3100
1,2023-04-18,0.90000,0.90000,0.85000,0.86900,17500
2,2023-04-17,0.90000,0.94500,0.85000,0.88500,31200
3,2023-04-14,0.85600,0.92000,0.85000,0.92000,13600
4,2023-04-13,0.83000,0.89800,0.83000,0.88300,15700
5,2023-04-12,0.91300,0.91300,0.87600,0.89400,5700
6,2023-04-11,0.91000,0.91300,0.89500,0.91300,11200
7,2023-04-10,0.86500,1.03000,0.86500,0.94000,19500
8,2023-04-06,0.87800,0.94900,0.86100,0.94900,10000
9,2023-04-05,0.99000,0.99000,0.92000,0.93100,19700
10,2023-04-04,0.85000,1.09000,0.80800,1.01000,185500
11,2023-04-03,0.83100,0.91000,0.83100,0.91000,16500
12,2023-03-31,0.87000,0.91900,0.81000,0.91900,42000
13,2023-03-30,0.86000,0.86900,0.81000,0.84000,7500
14,2023-03-29,0.86500,0.86500,0.80300,0.86400,7400
15,2023-03-28,0.79000,0.82000,0.76500,0.82000,21500
16,2023-03-27,0.76000,0.79000,0.76000,0.78900,8400
17,2023-03-24,0.78000,0.79000,0.74000,0.78000,5200
18,2023-03-23,0.78600,0.79000,0.70000,0.78500,33300
19,2023-03-22,0.72200,0.79000,0.72200,0.78600,9900
20,2023-03-21,0.71000,0.80000,0.71000,0.76000,55500
21,2023-03-20,0.71100,0.80000,0.61000,0.76200,15700
22,2023-03-17,0.76300,0.76300,0.70900,0.71100,48900
23,2023-03-16,0.79700,0.81300,0.73500,0.79000,83400
24,2023-03-15,0.83200,0.88800,0.74000,0.81500,25200
25,2023-03-14,0.89000,0.93000,0.82700,0.84500,7700
26,2023-03-13,0.94000,0.94400,0.85400,0.88900,24400
27,2023-03-10,0.99000,1.00000,0.94000,0.98500,24000
28,2023-03-09,0.99000,0.99000,0.94100,0.99000,6400
29,2023-03-08,0.98000,0.98000,0.98000,0.98000,400
30,2023-03-07,0.97500,1.01000,0.97500,0.99000,21000
31,2023-03-06,0.95000,0.99000,0.93000,0.97500,16100
32,2023-03-03,0.96000,1.02000,0.93000,1.00000,33800
33,2023-03-02,0.98000,1.02000,0.95000,0.99500,20700
34,2023-03-01,1.04000,1.04000,0.99000,1.03000,8900
35,2023-02-28,1.02300,1.04000,1.00000,1.03000,11000
36,2023-02-27,1.04000,1.05000,1.00000,1.03300,19700
37,2023-02-24,1.01000,1.03000,1.00000,1.02700,4000
38,2023-02-23,1.04000,1.06000,1.00000,1.00000,7400
39,2023-02-22,1.01500,1.03700,0.98000,1.02000,6500
40,2023-02-21,0.99000,1.05500,0.99000,1.04500,8600
41,2023-02-17,1.01500,1.03000,1.01000,1.03000,6600
42,2023-02-16,1.05000,1.08000,1.02000,1.02500,18000
43,2023-02-15,1.07000,1.07000,1.01000,1.04800,41500
44,2023-02-14,1.11000,1.11000,1.04000,1.07000,14800
45,2023-02-13,1.09600,1.10000,1.02000,1.09000,18400
46,2023-02-10,1.07000,1.10000,1.06000,1.09000,10200
47,2023-02-09,1.14000,1.14000,1.07000,1.08000,33400
48,2023-02-08,1.14000,1.15000,1.08000,1.09000,18000
49,2023-02-07,1.08100,1.22000,1.08000,1.18000,54500
50,2023-02-06,1.06000,1.13700,1.05200,1.12000,7200
51,2023-02-03,1.11000,1.20000,1.08000,1.09000,59000
52,2023-02-02,1.10000,1.20000,1.08000,1.20000,56600
53,2023-02-01,1.15400,1.15400,1.09000,1.10000,27900
54,2023-01-31,1.15000,1.15700,1.06200,1.11000,46400
55,2023-01-30,1.22000,1.23000,1.09000,1.12000,49700
56,2023-01-27,1.11000,1.19700,1.11000,1.11000,30300
57,2023-01-26,1.18000,1.19000,1.10000,1.14000,12000
58,2023-01-25,1.13000,1.14000,1.11000,1.14000,24900
59,2023-01-24,1.12000,1.19800,1.12000,1.14000,42100
60,2023-01-23,1.23000,1.23000,1.11000,1.17500,57800
61,2023-01-20,1.09000,1.31000,1.04000,1.18500,336900
62,2023-01-19,1.02000,1.09000,1.02000,1.07000,16200
63,2023-01-18,1.05000,1.12000,0.99000,1.02000,90500
64,2023-01-17,1.10000,1.16000,1.02000,1.12500,43900
65,2023-01-13,1.00000,1.13000,1.00000,1.07000,74300
66,2023-01-12,1.03000,1.04000,1.00000,1.04000,10800
67,2023-01-11,0.98000,1.04000,0.98000,1.03000,27000
68,2023-01-10,0.97000,1.05000,0.93000,1.00000,25100
69,2023-01-09,1.07000,1.08000,0.99000,1.02000,54200
70,2023-01-06,1.10000,1.12900,1.04000,1.04000,89600
71,2023-01-05,1.00000,1.20000,0.96500,1.04000,317500
72,2023-01-04,0.92500,1.00000,0.92100,0.98000,11200
73,2023-01-03,0.92000,0.99000,0.92000,0.99000,11300
74,2022-12-30,0.99000,1.00000,0.92000,0.94500,61100
75,2022-12-29,0.86200,1.01000,0.86200,0.98800,30000
76,2022-12-28,0.97700,0.97900,0.83000,0.97500,12600
77,2022-12-27,0.82700,0.99900,0.82700,0.95000,83700
78,2022-12-23,0.87700,0.87700,0.79000,0.81700,7700
79,2022-12-22,0.84700,0.85000,0.69600,0.83500,30400
80,2022-12-21,0.93000,0.93000,0.65100,0.87000,237000
81,2022-12-20,0.95000,0.95000,0.94000,0.94000,3400
82,2022-12-19,0.99000,0.99000,0.87000,0.95000,26100
83,2022-12-16,1.00000,1.00000,0.93000,0.96000,17200
84,2022-12-15,1.00000,1.01000,0.96000,0.96000,21200
85,2022-12-14,1.01000,1.01000,0.98000,1.01000,13200
86,2022-12-13,0.98800,1.06000,0.96000,1.05000,67800
87,2022-12-12,1.03000,1.04000,0.96000,1.03500,31600
88,2022-12-09,1.01800,1.03000,0.95000,1.03000,34900
