,datetime,open,high,low,close,volume
0,2023-04-19,2.19000,2.39000,2.12000,2.28000,2269500
1,2023-04-18,2.08000,2.58000,2.05000,2.24000,5929900
2,2023-04-17,1.76000,1.97000,1.74000,1.97000,984600
3,2023-04-14,1.69000,1.77000,1.69000,1.76000,868300
4,2023-04-13,1.70000,1.74000,1.68000,1.72000,366300
5,2023-04-12,1.76000,1.78000,1.68000,1.68000,535200
6,2023-04-11,1.74000,1.77000,1.73000,1.73000,310000
7,2023-04-10,1.75000,1.75000,1.70000,1.74000,464800
8,2023-04-06,1.79000,1.79000,1.72000,1.73000,399700
9,2023-04-05,1.85000,1.85000,1.75000,1.79000,595800
10,2023-04-04,1.87000,1.90000,1.81000,1.85000,465100
11,2023-04-03,1.87000,1.91000,1.83000,1.87000,512400
12,2023-03-31,1.78500,1.89000,1.75000,1.86000,889100
13,2023-03-30,1.75000,1.80000,1.75000,1.75000,894300
14,2023-03-29,1.79000,1.79000,1.70000,1.76000,1154300
15,2023-03-28,1.82000,1.82000,1.74000,1.76000,1074000
16,2023-03-27,1.93000,1.99000,1.79000,1.81000,1479500
17,2023-03-24,1.86000,1.88000,1.78000,1.85000,1101100
18,2023-03-23,1.91000,1.93000,1.85000,1.88000,1054800
19,2023-03-22,1.92000,1.94000,1.86000,1.88000,1542500
20,2023-03-21,1.88000,1.91000,1.85000,1.89000,1017200
21,2023-03-20,1.95000,1.95000,1.81000,1.84000,937200
22,2023-03-17,2.00000,2.03000,1.91000,1.93000,763100
23,2023-03-16,2.01000,2.02900,1.97000,1.99000,873100
24,2023-03-15,2.10000,2.10000,1.98000,2.04000,1168900
25,2023-03-14,2.22000,2.24000,2.10000,2.16000,1505900
26,2023-03-13,2.08000,2.21500,2.01000,2.18000,1185500
27,2023-03-10,2.18000,2.18000,2.06000,2.11000,925300
28,2023-03-09,2.20000,2.26000,2.15000,2.18000,581000
29,2023-03-08,2.29000,2.30000,2.18000,2.21000,743500
30,2023-03-07,2.31000,2.34000,2.25000,2.30000,579600
31,2023-03-06,2.30000,2.38900,2.29000,2.31000,539300
32,2023-03-03,2.21000,2.35000,2.21000,2.31000,726300
33,2023-03-02,2.21000,2.23000,2.14000,2.22000,536700
34,2023-03-01,2.29000,2.29500,2.20000,2.21000,453500
35,2023-02-28,2.24000,2.27000,2.21000,2.26000,435000
36,2023-02-27,2.27000,2.31000,2.22000,2.24000,528000
37,2023-02-24,2.29000,2.29000,2.20000,2.24000,618400
38,2023-02-23,2.36000,2.39000,2.23500,2.33000,678100
39,2023-02-22,2.38000,2.42500,2.29500,2.35000,660200
40,2023-02-21,2.46000,2.51000,2.34200,2.39000,564700
41,2023-02-17,2.45000,2.47000,2.40000,2.46000,498600
42,2023-02-16,2.43000,2.56500,2.40000,2.48000,756500
43,2023-02-15,2.36000,2.49000,2.34000,2.49000,539000
44,2023-02-14,2.40000,2.43500,2.32000,2.40000,513900
45,2023-02-13,2.31000,2.45000,2.29000,2.42000,709900
46,2023-02-10,2.28000,2.30500,2.21000,2.29000,715900
47,2023-02-09,2.38000,2.46000,2.27000,2.29000,1008000
48,2023-02-08,2.41000,2.43800,2.31000,2.31000,739100
49,2023-02-07,2.51000,2.53000,2.39000,2.44000,997800
50,2023-02-06,2.61000,2.62000,2.51200,2.53000,697500
51,2023-02-03,2.62000,2.71000,2.55000,2.61000,861700
52,2023-02-02,2.69000,2.85000,2.63500,2.67000,1880300
53,2023-02-01,2.63000,2.66500,2.54100,2.64000,1078500
54,2023-01-31,2.52000,2.62000,2.50000,2.62000,894300
55,2023-01-30,2.64000,2.64000,2.50000,2.51000,1020900
56,2023-01-27,2.60000,2.75000,2.56000,2.65000,1846400
57,2023-01-26,2.69000,2.73000,2.57500,2.62000,1061100
58,2023-01-25,2.69000,2.71000,2.50000,2.61000,1341600
59,2023-01-24,2.55000,2.79000,2.54000,2.73000,1940100
60,2023-01-23,2.50000,2.63000,2.49500,2.59000,1180700
61,2023-01-20,2.43000,2.52000,2.40000,2.50000,745900
62,2023-01-19,2.59000,2.60000,2.39000,2.40000,1179800
63,2023-01-18,2.56000,2.70000,2.54000,2.60000,2182100
64,2023-01-17,2.67000,2.67000,2.48000,2.54000,2079900
65,2023-01-13,2.15000,2.59500,2.15000,2.49000,3011500
66,2023-01-12,2.14000,2.20000,2.07400,2.17000,1031000
67,2023-01-11,2.11000,2.16000,2.05500,2.12000,1324200
68,2023-01-10,2.03000,2.10000,2.02000,2.10000,1135300
69,2023-01-09,2.09000,2.17000,2.04000,2.05000,1214000
